model,n,mae,mse,rmse,r2,bias,split,horizon
seasonal_naive_24h,604,6.513669905629139,166.7517637939845,12.913239864340184,0.6289498418902248,0.003176885761589454,test,1
seasonal_naive_24h,604,5.944727798013245,172.56970909218708,13.136579048298193,0.6285253836593958,0.003525675496688676,test,2
seasonal_naive_24h,604,5.987595140728477,177.28537409985745,13.314855391623952,0.6332978397375133,0.004334865894039797,test,3
seasonal_naive_24h,604,6.342148331125829,194.88676579030434,13.960185019916619,0.6242347385680719,0.0035409271523179266,test,4
seasonal_naive_24h,604,7.668094478476823,223.87706855500667,14.962522132147598,0.5918703141795326,8.259933774855243e-06,test,5
seasonal_naive_24h,604,11.448186367549669,412.94351821746494,20.321011741974488,0.5094777910903467,-0.00796951324503295,test,6
seasonal_naive_24h,604,16.30002539900662,796.140555278277,28.21596277425736,0.4641852738426506,-0.002469028145695574,test,7
seasonal_naive_24h,604,15.113337933774835,946.9082840054334,30.771874886094174,0.49893128301458756,0.005119827814569581,test,8
seasonal_naive_24h,604,9.526734965231787,294.4166085548449,17.158572450960044,0.6263843660163921,0.00614020364238406,test,9
seasonal_naive_24h,604,9.046293374172185,223.39928856979205,14.946547714097461,0.5929062428061382,-0.0010925629139073695,test,10
seasonal_naive_24h,604,10.17256357615894,286.22898569097515,16.918303274589185,0.5516287532333428,-0.0056701655629139164,test,11
seasonal_naive_24h,604,12.038884495033113,428.3503632432587,20.69662685664644,0.5178928724403251,-0.010934163907284796,test,12
seasonal_naive_24h,604,14.631246682119205,874.2252931861908,29.56730108052121,0.4177410781804588,-0.014183678807946704,test,13
seasonal_naive_24h,604,16.33935604635762,1123.1068945257089,33.51278703011298,0.4636961805137134,-0.01728438741721883,test,14
seasonal_naive_24h,604,20.59006402649007,2290.5335628669745,47.85951904132526,0.3499866449484025,-0.021304205298013,test,15
seasonal_naive_24h,604,23.044869483443712,2647.9983371275293,51.45870516372841,0.36072632682672434,-0.023391450331125684,test,16
seasonal_naive_24h,604,25.252331319536427,2877.0414027038764,53.63805927421197,0.3720018577384041,-0.022877302980132703,test,17
seasonal_naive_24h,604,23.777422857615896,2346.2461847772734,48.4380654524649,0.38826244989389647,-0.026358158940397242,test,18
seasonal_naive_24h,604,21.376378003311256,1713.9637923606583,41.400045801431894,0.46760692785656033,-0.030227052980132507,test,19
seasonal_naive_24h,604,15.198161306291388,744.2287692447588,27.280556615376433,0.5442962548660034,-0.025496746688741773,test,20
seasonal_naive_24h,604,11.561817375827815,461.67771173997,21.486686848836655,0.5118068627027178,-0.01710527649006616,test,21
seasonal_naive_24h,604,9.919592562913907,387.3627415560553,19.68153300828102,0.4975225646733289,-0.006723274834436974,test,22
seasonal_naive_24h,604,8.233881753311255,300.7072370928837,17.34091223358459,0.4997356686935045,-0.0009469884105960869,test,23
seasonal_naive_24h,604,7.685235559602649,297.3423746193904,17.243618373745992,0.459258068256608,0.005059529801324412,test,24
seasonal_naive_24h,362,3.716146093577348,56.650270264566764,7.5266373809667995,0.05332649600949391,0.017361077463167666,validation,1
seasonal_naive_24h,362,3.516029534645488,58.361763875442044,7.639487147409965,0.12631004228527853,0.04317940204880298,validation,2
seasonal_naive_24h,362,3.416033281883057,55.31491582547435,7.43739980271831,0.1737756927828331,0.05665302221454884,validation,3
seasonal_naive_24h,362,3.624963200391344,66.88690842553734,8.178441686870265,0.13348707552026406,0.05719212304327807,validation,4
seasonal_naive_24h,362,4.799286900667587,85.61539359185888,9.252858671343622,0.13684199425728294,0.040288442104051574,validation,5
seasonal_naive_24h,362,9.401619765308471,778.1480845534498,27.895305779887945,-0.2929937314015847,0.009403015308471494,validation,6
seasonal_naive_24h,362,12.436906220649172,1028.0394238010315,32.063053875154054,-0.08530217369773152,-0.004150765078269144,validation,7
seasonal_naive_24h,362,10.955721253568138,866.5949737524153,29.437985218972024,-0.17077623691165789,-0.019244796846224318,validation,8
seasonal_naive_24h,362,7.202786892840701,298.8136680586261,17.286227698911816,-0.27246043933816355,-0.04261805513351777,validation,9
seasonal_naive_24h,362,5.9091277029235725,84.74335285643588,9.205615289400045,-0.0523226065781226,-0.046958669774401524,validation,10
seasonal_naive_24h,362,6.471675856698894,90.09909816747593,9.492054475585142,0.009447870511445244,-0.0807832070672191,validation,11
seasonal_naive_24h,362,7.138538647905156,116.83490465669301,10.809019597386852,0.022567842941965233,-0.11808047640423561,validation,12
seasonal_naive_24h,362,8.008092881100369,168.7240465664495,12.98938207023142,0.11380148341006069,-0.1459668341390425,validation,13
seasonal_naive_24h,362,9.123795915400553,304.310144545182,17.444487511680645,0.15680743110481754,-0.15625557308931834,validation,14
seasonal_naive_24h,362,11.060012678982504,613.5173005758659,24.7692813899771,0.14003446116852392,-0.20039391977440166,validation,15
seasonal_naive_24h,362,12.077457851404235,630.504873537581,25.109856103482176,0.2181310866591326,-0.24441217806169446,validation,16
seasonal_naive_24h,362,13.015634099332413,702.7010687618834,26.508509365143176,0.2096425365143404,-0.2925202650782689,validation,17
seasonal_naive_24h,362,12.787160418393189,647.4726225420573,25.44548334266923,0.06835781635476179,-0.26097084933241244,validation,18
seasonal_naive_24h,362,10.430366242978822,379.7136405739883,19.48624234104637,-0.011309446686174507,-0.19577809380755098,validation,19
seasonal_naive_24h,362,8.007834979166667,241.61879694527144,15.544092027045885,-0.2270379914205365,-0.16567063110036845,validation,20
seasonal_naive_24h,362,6.243234375575506,163.9728736870171,12.805189326480773,-0.29573601346339995,-0.12087285071362808,validation,21
seasonal_naive_24h,362,5.456247796846225,150.32140715182175,12.260563084614905,-0.3345477197298725,-0.06101276369705349,validation,22
seasonal_naive_24h,362,4.421332557895949,128.52031857491946,11.336680227249927,-0.35947790587899076,-0.026391044083793676,validation,23
seasonal_naive_24h,362,3.699284586901473,78.4167739578631,8.855324610530271,-0.11438350640947315,0.016846617518416276,validation,24
seasonal_naive_168h,604,12.574569066225164,705.6266850526188,26.563634635580627,-0.5701356741193033,-0.041399516556291205,test,1
seasonal_naive_168h,604,11.731520602649006,707.2374707213925,26.59393672853631,-0.5224037258913301,-0.023099410596026375,test,2
seasonal_naive_168h,604,11.7150738294702,734.0263183597824,27.092920078127097,-0.5182811216025089,-0.013146614238410601,test,3
seasonal_naive_168h,604,12.199860826158941,798.0339628947339,28.24949491397561,-0.5387060249199134,-0.013241690397351033,test,4
seasonal_naive_168h,604,13.36866684602649,857.4205904632979,29.281745003727117,-0.5630845912912483,-0.0328796076158941,test,5
seasonal_naive_168h,604,17.32225365231788,1240.6438768466337,35.22277497368192,-0.4737206133371583,-0.0718266556291392,test,6
seasonal_naive_168h,604,23.35975232450331,1991.3241606014403,44.62425529464262,-0.340191506046605,-0.010866182119205493,test,7
seasonal_naive_168h,604,23.83593816390728,2643.8683982281614,51.41856083388723,-0.3990370224397157,0.03952360099337738,test,8
seasonal_naive_168h,604,17.56415224503311,1250.3965118177905,35.360946138611595,-0.5867572409953568,0.021820735099337712,test,9
seasonal_naive_168h,604,16.207746539735098,933.616173997648,30.555133349367797,-0.7013004763035466,-0.0030747682119205656,test,10
seasonal_naive_168h,604,18.666028968543046,1078.2088095098525,32.83609004601267,-0.6889897682014134,-0.025998773178808023,test,11
seasonal_naive_168h,604,21.842657887417218,1429.8912543423721,37.81390292395605,-0.6093385800684286,-0.07033527814569533,test,12
seasonal_naive_168h,604,26.730885496688742,2385.137956952997,48.837874205917245,-0.5885697497321645,-0.12406117880794716,test,13
seasonal_naive_168h,604,30.696990074503315,3334.413182526819,57.74437793003592,-0.5922424964631208,-0.15940880960264914,test,14
seasonal_naive_168h,604,37.5642993410596,5852.893970397747,76.50420884106799,-0.660948919559863,-0.19640112582781494,test,15
seasonal_naive_168h,604,41.61418741059603,6767.172622710624,82.26282649356648,-0.6337152629070943,-0.212172831125828,test,16
seasonal_naive_168h,604,45.12230653642384,7657.774716405716,87.50871223144422,-0.6715325303421047,-0.20805943046357642,test,17
seasonal_naive_168h,604,43.694263572847674,6796.632292547039,82.44169025770299,-0.7720882039535193,-0.18010196026490058,test,18
seasonal_naive_168h,604,38.52259397847682,5568.347718967524,74.62136234998343,-0.7296454931413301,-0.23120181622516564,test,19
seasonal_naive_168h,604,27.41650167218543,2636.7408742408206,51.34920519580435,-0.6145206165018084,-0.17439012582781457,test,20
seasonal_naive_168h,604,20.934450298013246,1634.1714254142855,40.424886213993055,-0.7280264018981066,-0.12048941390728474,test,21
seasonal_naive_168h,604,17.69262148178808,1353.6253616863407,36.791647988182596,-0.7558895762690772,-0.06507705463576191,test,22
seasonal_naive_168h,604,15.061232743377483,1046.4184916803686,32.34839241261254,-0.7408488470981984,-0.027703432119205177,test,23
seasonal_naive_168h,604,14.18104251655629,936.6193048692,30.60423671437012,-0.7033203991574506,-0.017447089403973354,test,24
seasonal_naive_168h,362,7.725981260474217,703.8657341714506,26.530468035288234,-10.762186443154706,2.5540977128222835,validation,1
seasonal_naive_168h,362,7.490473015999078,632.3183264211796,25.145940555508748,-8.465960848137225,2.4565383495626154,validation,2
seasonal_naive_168h,362,7.2054051559622465,584.9691595475612,24.18613568860394,-7.73753003829049,2.374209342656537,validation,3
seasonal_naive_168h,362,7.646902657803869,652.5046446038351,25.544170462237272,-7.453129635401261,2.4897938633747696,validation,4
seasonal_naive_168h,362,8.88567182493094,745.1889458168647,27.298149128042816,-6.512852273261822,2.61013802497698,validation,5
seasonal_naive_168h,362,13.578903004028545,1663.931754144909,40.79131959308143,-1.7648379149118498,2.6911346423802947,validation,6
seasonal_naive_168h,362,17.931184550529466,2271.5386609981624,47.6606615669376,-1.398065472338228,3.069091726634438,validation,7
seasonal_naive_168h,362,16.64094000955341,2422.6770052688435,49.22069691978003,-2.273054602658496,3.8791996534300184,validation,8
seasonal_naive_168h,362,11.624615027509208,1310.7240308485718,36.203922865465444,-4.581553504498455,3.1350771603360954,validation,9
seasonal_naive_168h,362,9.660376180824125,872.101683647663,29.531367791683184,-9.829549292108052,2.7213383274631675,validation,10
seasonal_naive_168h,362,10.089992204304787,645.7305308509813,25.411228440415496,-6.099180407125415,2.085873563651013,validation,11
seasonal_naive_168h,362,10.939585086901474,610.2157421581547,24.702545256676583,-4.105019693224415,1.8952086479051564,validation,12
seasonal_naive_168h,362,12.073817867288213,661.6080718280857,25.721743172422933,-2.4750001778025617,1.7625527349217311,validation,13
seasonal_naive_168h,362,14.453253352094842,949.8342316381711,30.819380779603133,-1.631831965367358,1.7228023440377533,validation,14
seasonal_naive_168h,362,17.45595219325506,1494.191249173507,38.65477007011563,-1.094403827743204,1.5780590664134435,validation,15
seasonal_naive_168h,362,19.02656440458103,1616.1429206067721,40.20128008666853,-1.0041271085639525,1.6088847169659297,validation,16
seasonal_naive_168h,362,20.84049216839319,1883.1308261487204,43.395055319111194,-1.1180364871067199,1.8383108039825045,validation,17
seasonal_naive_168h,362,20.55484219463628,2090.219106649908,45.718914101823415,-2.007596344646724,2.646457606468692,validation,18
seasonal_naive_168h,362,16.243714339663903,1391.0822940915914,37.29721563456971,-2.70493581164509,2.534807356468692,validation,19
seasonal_naive_168h,362,12.543789479166668,1123.7614403257762,33.5225512204214,-4.7069151821226916,2.5880398357504606,validation,20
seasonal_naive_168h,362,10.480151853476059,946.4513922516904,30.76445013732068,-6.4789879957454755,2.5185212956952125,validation,21
seasonal_naive_168h,362,9.649737382481584,992.2002282100808,31.499209961681274,-7.808715785476036,2.561544656192449,validation,22
seasonal_naive_168h,362,8.30137282769337,760.8668813630243,27.583815569333847,-7.0483905268652265,2.35188508298803,validation,23
seasonal_naive_168h,362,7.313215979166667,553.0787506153794,23.51762638140549,-6.859821391817591,2.017887440722836,validation,24
dmdc,604,3.5737983934295157,69.43295111850215,8.332643705241582,0.8455002399712074,-0.8234916766853733,test,1
dmdc,604,4.650060167846492,85.54573351106517,9.249093658897891,0.8158537283120608,-0.6492824569596559,test,2
dmdc,604,5.203043938241359,95.88358852301782,9.79201657081001,0.8016716312688861,-1.250540771088431,test,3
dmdc,604,5.901368822567018,102.73472823060106,10.13581413753237,0.8019150153415371,-2.542766333629337,test,4
dmdc,604,7.5353213555458405,134.03638630346882,11.577408445048002,0.7556505961792837,-5.371529306759021,test,5
dmdc,604,13.200265177964406,403.83272370934077,20.09558965816482,0.5203002083214934,-11.659209100867852,test,6
dmdc,604,19.425606893770784,989.9670537305072,31.46374189015838,0.3337370866454554,-17.84312272260308,test,7
dmdc,604,17.454304703385603,1176.916804376507,34.306221073975884,0.3772193113856801,-15.433581269558536,test,8
dmdc,604,10.730822581288379,314.4601531644756,17.733024365980995,0.6009490427057818,-7.0275555953818785,test,9
dmdc,604,9.420993705939283,218.21120089877854,14.771973493706877,0.6023603378310838,-3.6850258048683564,test,10
dmdc,604,12.642931523511596,409.50364848116726,20.236196492453004,0.35852177590697054,-4.72329369962978,test,11
dmdc,604,16.10542415591608,736.5143893286869,27.138798597739857,0.17105512889696495,-6.218752231958986,test,12
dmdc,604,20.677158646560347,1419.3987466746155,37.67490871488099,0.05464004494920016,-8.969428367422063,test,13
dmdc,604,24.81450610911851,2105.2485532615183,45.88298762353557,-0.005294193798831115,-11.527803210735742,test,14
dmdc,604,30.438973450156567,3715.709122973633,60.95661672840474,-0.0544532473022703,-16.670153807220665,test,15
dmdc,604,34.80887829773176,4597.030691415234,67.8014062642895,-0.10980458506600921,-22.783392977992627,test,16
dmdc,604,38.42881999321672,5463.424495471956,73.91498153603203,-0.19255163666340458,-31.325391831114963,test,17
dmdc,604,38.98447190572,4922.14736282165,70.1580170958505,-0.28335312318454386,-36.93233395504801,test,18
dmdc,604,38.93991541781972,4419.486887075749,66.47922146863446,-0.37278524295266946,-38.12479821242745,test,19
dmdc,604,30.9445203167509,2313.639034837992,48.10030181649583,-0.4166799465892901,-29.97485946191825,test,20
dmdc,604,23.078840711444293,1188.8643931325835,34.47991289334391,-0.25714415737556884,-22.026190289484227,test,21
dmdc,604,18.10291231817666,804.0589335014721,28.355932950644952,-0.0430055021150042,-16.831495038719176,test,22
dmdc,604,14.674088625672786,551.8448494919957,23.491378194818534,0.08193664613807172,-13.265352712263338,test,23
dmdc,604,13.667054711248685,499.84116568055333,22.357127849537232,0.09099711118892317,-12.037796569054041,test,24
dmdc,362,1.7976550044430946,7.2595489648089755,2.6943550183316556,0.8786868513810978,-1.099491619899148,validation,1
dmdc,362,2.3154870116051636,9.484760158909133,3.0797337805253773,0.858010807900572,-0.9760402280198263,validation,2
dmdc,362,2.788387869512553,12.57273523259042,3.5458053009986914,0.812204370153124,-0.8411091062462942,validation,3
dmdc,362,3.313468778906614,16.951165357819526,4.11717929629249,0.7803994202558213,-1.3862081490541123,validation,4
dmdc,362,4.840264276690483,36.74756865046636,6.061977288844488,0.6295180487817524,-3.463817246415428,validation,5
dmdc,362,9.878804055591534,532.3547547699098,23.07281419267944,0.11542369060211854,-8.684562202921732,validation,6
dmdc,362,14.604079762910782,904.3137852591105,30.071810475245925,0.04531509772480413,-12.539264239682076,validation,7
