winter_year_eastern,hours,mean_lmp,median_lmp,p95_lmp,max_lmp,mean_load_mw,max_load_mw,mean_temp_c,min_temp_c,mean_hdd,max_hdd,max_wind_speed_ms,precip_1h_total_mm,high_price_hours
2018,2159,50.635959688281616,31.71498,161.11862349999998,409.272986,12179.258233904586,21232.034,5.263617415470125,-14.533333333333331,13.194534506716073,32.833333333333336,14.02,169.08666666666667,267
2019,2903,31.61410090440923,28.584742,50.63177050000001,189.320518,11982.22629555632,19930.461,5.825273854633139,-11.4,12.557088069812838,29.7,10.65,342.27,22
2020,2927,21.181972017594806,20.234602,31.277014899999998,69.365322,11417.28970242569,17543.569,7.9004418631135405,-6.033333333333334,10.575278442090879,24.33333333333333,9.966666666666669,275.6333333333333,0
2021,2903,30.57715109972442,26.155859,53.124469000000005,182.691385,12641.868264898381,17867.391,5.908431507635779,-5.65,12.505295671144793,23.95,10.05,323.0833333333333,55
2022,2903,54.067285638821915,47.252355,104.1465189,199.499727,12934.773570788839,20228.597,6.86986680445516,-8.6,11.596220002296475,26.9,12.166666666666666,207.41333333333333,207
2023,2903,52.577737828281094,36.284573,137.3091474,500.00032,13323.933968308647,22189.221,7.689871971523711,-13.433333333333332,10.736646572511196,31.73333333333333,11.916666666666666,223.67666666666668,234
2024,2927,32.981128242910835,26.785303,79.46460539999997,335.743432,13892.089901947385,22028.498,7.774173784307027,-8.983333333333333,10.649024029153855,27.28333333333333,9.8,415.25,105
2025,2903,53.792104562865994,40.668104,132.64690690000006,389.717517,15526.256056493283,24678.126,5.642834424158916,-11.116666666666667,12.828251808473993,29.416666666666668,11.333333333333334,253.245,237
