model,n,mae,mse,rmse,r2,bias,split,horizon
seasonal_naive_24h,365,1.6535372136986304,6.567013554618534,2.5626184957223996,0.5632241305437784,-0.013521120547945187,cv_2020,1
seasonal_naive_24h,365,1.712488983219178,7.020753146686585,2.6496703845358924,0.5654495587875574,-0.011125246232876718,cv_2020,2
seasonal_naive_24h,365,1.6913347801369862,5.835030967622266,2.415580875818954,0.6268424925927144,-0.010965465068493148,cv_2020,3
seasonal_naive_24h,365,1.768650018150685,6.348300053545239,2.5195833095068,0.6059963698455988,-0.011420840068493152,cv_2020,4
seasonal_naive_24h,365,2.0290114972602735,8.682130291372326,2.9465454843549126,0.5386417224718014,-0.012100280821917808,cv_2020,5
seasonal_naive_24h,365,3.0494487626712328,19.143867191489864,4.375370520480507,0.4050000101440355,-0.01490387500000004,cv_2020,6
seasonal_naive_24h,365,4.527661376027398,46.41917394108154,6.813161816739827,0.33732483442187555,-0.028047567808219185,cv_2020,7
seasonal_naive_24h,365,5.036929186643836,82.06043362001033,9.058721411988026,0.30148879500557013,-0.03669149349315066,cv_2020,8
seasonal_naive_24h,365,3.218335175342466,23.27513228570242,4.82443077323143,0.38125140882418407,-0.0326172410958904,cv_2020,9
seasonal_naive_24h,365,2.9804858270547943,17.928859026809604,4.234248342599853,0.3052028615775859,-0.021725657191780816,cv_2020,10
seasonal_naive_24h,365,2.949132966438356,15.46582756460079,3.9326616387124878,0.350917705253579,-0.017823629452054793,cv_2020,11
seasonal_naive_24h,365,3.004249582534247,16.734283208624525,4.090755823637549,0.47510100535897404,-0.012801653767123285,cv_2020,12
seasonal_naive_24h,365,3.395481639726027,27.013243261666563,5.1974265999306395,0.4846869965119489,-0.008020943835616393,cv_2020,13
seasonal_naive_24h,365,3.8980284256849314,40.76786616417178,6.384971900029927,0.5114223956579114,-0.007260677739726031,cv_2020,14
seasonal_naive_24h,365,4.723839444520547,80.79907951658147,8.988830820333725,0.40055477264832673,-0.006010337671232949,cv_2020,15
seasonal_naive_24h,365,5.180989594863014,84.55632851337356,9.195451512208281,0.5242350982434693,-0.00565994554794521,cv_2020,16
seasonal_naive_24h,365,4.998592926027397,76.99203097293821,8.774510298184065,0.5081039046895123,-0.011685189041095927,cv_2020,17
seasonal_naive_24h,365,4.416886572260274,51.901544875449645,7.204272681919365,0.36783078217349063,-0.02689368458904112,cv_2020,18
seasonal_naive_24h,365,3.4471639527397264,22.586881699486323,4.752565801699785,0.3956449365802659,-0.01940351986301367,cv_2020,19
seasonal_naive_24h,365,2.7330807469178082,13.354660532930268,3.6544028969080937,0.40246192804168135,-0.016989103082191787,cv_2020,20
seasonal_naive_24h,365,2.3437462123287673,10.919682555570116,3.3044942964953226,0.4283461509821982,-0.013968793150684937,cv_2020,21
seasonal_naive_24h,365,1.9571924229452053,7.388574571315729,2.7181932549610464,0.5599682026329287,-0.008853677739726033,cv_2020,22
seasonal_naive_24h,365,1.6340615239726026,5.00701806841458,2.2376367150220298,0.6129880283733606,-0.0038233760273972614,cv_2020,23
seasonal_naive_24h,365,1.5708221044520547,4.605234004720709,2.145980895702641,0.6235755254227136,-0.002043129109589035,cv_2020,24
seasonal_naive_24h,364,3.7595980961538458,40.51809918278206,6.365382877940813,0.7599645828835762,-0.018644195054945047,cv_2021,1
seasonal_naive_24h,364,3.5284879545558607,38.6112825392838,6.2137977549389065,0.749769177335794,-0.01465878720238095,cv_2021,2
seasonal_naive_24h,364,3.3520146701007323,35.6426676098177,5.97014803918778,0.7629179537743394,-0.014003544184981677,cv_2021,3
seasonal_naive_24h,364,3.4912441383928576,37.50809388221735,6.12438518401785,0.7686362279525749,-0.013609345123626375,cv_2021,4
seasonal_naive_24h,364,4.274822268772893,52.90833844940627,7.273811823893046,0.7545855478407949,-0.01453491804029309,cv_2021,5
seasonal_naive_24h,364,6.936550726076008,137.61806833526785,11.731072770009904,0.6539034467403559,-0.020062598099816815,cv_2021,6
seasonal_naive_24h,364,9.538634721840658,264.21074586832316,16.254560771313482,0.6273268958608672,-0.030004662774725327,cv_2021,7
seasonal_naive_24h,364,10.003682779647436,288.75840954404606,16.992892912745788,0.5972041696622894,-0.04548907635073271,cv_2021,8
seasonal_naive_24h,364,7.004611097069598,117.60216590950334,10.844453232390434,0.7185080640429299,-0.04678654212454222,cv_2021,9
seasonal_naive_24h,364,6.462182821085165,94.06716102235913,9.698822661661524,0.7367624082665964,-0.046823480425824196,cv_2021,10
seasonal_naive_24h,364,6.511595270375458,95.56387120102286,9.775677531558765,0.7196530203548713,-0.05031386378205123,cv_2021,11
seasonal_naive_24h,364,6.734641096039376,111.18751644216245,10.544549134133828,0.6789552063087616,-0.049597782852564075,cv_2021,12
seasonal_naive_24h,364,7.674107056318681,154.26234366157854,12.420239275536463,0.6102776814233193,-0.048348116758241834,cv_2021,13
seasonal_naive_24h,364,9.203496082532052,266.2291862782027,16.316531073675026,0.5201359580524596,-0.04403639571886442,cv_2021,14
seasonal_naive_24h,364,11.16903322687729,439.08289508367824,20.954304929624325,0.440349943077893,-0.037039540064102386,cv_2021,15
seasonal_naive_24h,364,13.348750318337911,1040.136588189471,32.251148633645144,0.17961762750976007,-0.03724800034340636,cv_2021,16
seasonal_naive_24h,364,13.580678836996338,1227.445024942253,35.034911516118505,0.08820997216545523,-0.044379413919413746,cv_2021,17
seasonal_naive_24h,364,10.94896786595696,347.580962884117,18.643523349520525,0.5480247230433836,-0.05305175606684972,cv_2021,18
seasonal_naive_24h,364,8.425443466346154,172.41263355603672,13.130599131648058,0.6655080711591085,-0.04730481249999991,cv_2021,19
seasonal_naive_24h,364,6.968011811240843,129.97121881337765,11.400492042599637,0.6747904456419147,-0.04347086069139179,cv_2021,20
seasonal_naive_24h,364,5.765764788003662,92.53582793874155,9.619554456353036,0.7118280035533285,-0.03803249130036627,cv_2021,21
seasonal_naive_24h,364,4.889131800480769,66.99432131628518,8.185005883704983,0.7400514843813568,-0.032649690590659315,cv_2021,22
