year_eastern,hour_eastern,mean_lmp,p95_lmp,mean_load_mw,mean_temp_c,mean_cdd
2018,0,22.509111902173913,26.55890845,10688.2475,23.13905797101449,4.912971014492753
2018,1,20.984222326086957,24.0330987,10065.031858695653,22.678804347826084,4.490036231884057
2018,2,19.886754999999997,22.009520600000002,9660.536108695653,22.34170289855072,4.2013043478260865
2018,3,19.228490467391303,21.126600149999998,9425.267119565216,22.03289855072464,3.940326086956521
2018,4,19.13257518478261,20.95122165,9423.921347826086,21.72047101449275,3.6820652173913038
2018,5,19.9966805,22.2552616,9712.705663043478,21.4786231884058,3.4990942028985503
2018,6,21.585893304347827,25.4822575,10185.247076086956,21.261268115942027,3.3310869565217383
2018,7,23.228447260869565,28.31824015,10798.58647826087,21.538804347826087,3.5223188405797097
2018,8,24.96268958695652,30.278473700000003,11507.250489130434,22.830615942028984,4.625181159420289
2018,9,28.03195418478261,35.175212050000006,12278.436217391305,24.23909420289855,5.989094202898549
2018,10,32.638916054347824,42.095461650000004,13074.010369565216,25.609057971014494,7.333514492753623
2018,11,36.7955775326087,47.70363535,13796.030032608696,26.83496376811594,8.551449275362318
2018,12,40.12566292391305,57.14872125,14430.626597826089,27.769202898550724,9.482789855072463
2018,13,43.487294695652174,62.41001465,14949.257858695652,28.47590579710145,10.187499999999998
2018,14,47.44062384782609,70.52441615000001,15301.157597826088,28.853079710144925,10.564673913043478
2018,15,52.261785967391305,82.62230480000002,15534.773836956521,29.090398550724636,10.802173913043477
2018,16,56.20052357608696,91.2127645,15663.048293478261,28.98586956521739,10.69855072463768
2018,17,53.82795042391304,83.38809550000002,15636.037673913044,28.667391304347827,10.380978260869565
2018,18,44.69678729347826,63.41729880000001,15348.729260869564,28.157065217391303,9.872826086956522
2018,19,40.02525865217392,54.3933729,14830.606228260871,27.364311594202896,9.085869565217392
2018,20,38.035002195652176,46.253326900000005,14362.015630434784,26.218840579710143,7.942572463768115
2018,21,33.858733,40.16362495,13732.448608695653,25.041304347826085,6.769746376811594
2018,22,27.87874922826087,33.7824603,12673.90395652174,24.28967391304348,6.0249999999999995
2018,23,25.007338195652174,29.9344366,11586.997076086956,23.686086956521738,5.437898550724637
2019,0,18.926604195652175,22.379461550000002,10913.438239130435,23.08047101449275,4.880652173913043
2019,1,17.894416945652175,21.268761050000002,10312.798760869566,22.651159420289854,4.518188405797101
2019,2,16.709050195652175,19.96087035,9900.800163043477,22.197318840579708,4.105833333333333
2019,3,15.887265032608695,19.4585938,9656.427,21.848079710144926,3.810398550724637
2019,4,15.80599883695652,19.18322445,9638.243173913042,21.47123188405797,3.5047463768115934
2019,5,16.830374847826086,19.7981826,9911.682326086957,21.183478260869563,3.270797101449275
2019,6,18.034933858695652,21.3519756,10358.637413043478,20.92778985507246,3.08123188405797
2019,7,19.20847935869565,22.65689295,10948.991652173912,21.341485507246375,3.3749999999999996
2019,8,20.855102554347827,24.6139203,11670.460989130435,22.80235507246377,4.614855072463768
2019,9,23.308808597826086,28.0563396,12458.390195652175,24.455434782608698,6.176811594202898
2019,10,25.832483369565217,31.74105195,13275.975228260868,25.996195652173913,7.6981884057971
2019,11,28.514862543478262,36.106063850000005,14038.334554347826,27.279347826086955,8.980253623188405
2019,12,30.596185706521737,38.8514573,14696.632293478262,28.27844202898551,9.979347826086956
2019,13,32.510965282608694,41.742728150000005,15247.029684782608,29.054057971014494,10.756956521739129
2019,14,34.62933318478261,45.6521564,15634.900358695653,29.5411231884058,11.243115942028984
2019,15,36.90080036956522,50.08414470000001,15895.70254347826,29.77282608695652,11.474818840579708
2019,16,40.006169489130436,57.9473483,16055.945369565217,29.72264492753623,11.42463768115942
