model,n,mae,mse,rmse,r2,bias,split,context
dmdc,2660,8.232678981665769,139.7239943385176,11.820490444077082,-0.15078051565338124,0.4331997846905395,validation,winter_all
dmdc,223,12.056635396748666,602.9884973005134,24.55582410143291,0.3505019263656278,-4.5209047817441546,validation,winter_cold_wave
dmdc,20,47.78989629927001,4549.035471683335,67.44653787766526,-0.9893245813146656,-47.78989629927001,validation,winter_storm
dmdc_residual_24h,5113,11.019799267207123,521.9918450014904,22.847140849600645,0.47971018818891564,0.22704648617748951,test,other
dmdc_residual_24h,3928,9.468104400757905,553.2405352429749,23.521065776086232,-0.30249441652968345,2.5192693184449864,test,summer_all
dmdc_residual_24h,354,67.67727027101186,10846.469530298993,104.146385104328,0.04741549176754678,-28.485850117005228,test,summer_heat_price_event
dmdc_residual_24h,15,12.903938531415031,238.39544732951092,15.440059822730964,-0.3912876730900463,-11.605631086135649,test,summer_sudden_heat
dmdc_residual_24h,4409,10.659452168154058,413.1385892971973,20.3258109136437,0.0061552527894834785,1.7987369689863446,test,winter_all
dmdc_residual_24h,369,19.888019097448428,1472.1392702186463,38.368467134075686,0.6451083700627109,-16.15313277904335,test,winter_cold_wave
dmdc_residual_24h,308,29.6018993964692,1871.5601749067318,43.2615322764547,0.6453089095682423,-10.444850168790351,test,winter_storm
dmdc_residual_24h,3648,8.544429870130903,413.0852239026454,20.324498121790004,0.12192485437243883,-0.0850403910060693,validation,other
dmdc_residual_24h,2122,5.893247687707365,171.29320603621866,13.087903041978064,0.255824200394707,0.41101369713840774,validation,summer_all
dmdc_residual_24h,15,86.41232494398452,12278.477416339289,110.80829127975618,-1.9254140894571323,-73.46483506839914,validation,summer_heat_price_event
dmdc_residual_24h,2660,6.344705251793253,146.0787828739256,12.086305592443276,-0.20311917704268767,0.6176936258103748,validation,winter_all
dmdc_residual_24h,223,10.739890199640984,582.5760218897561,24.13661164889878,0.3724888523463874,-3.7084670376885445,validation,winter_cold_wave
dmdc_residual_24h,20,45.2369740444616,4587.848075165825,67.73365540974314,-1.0062976004641437,-45.10758110460348,validation,winter_storm
