model,n,mae,mse,rmse,r2,bias,split
seasonal_naive_24h,14496,13.071359114238412,849.5080244455273,29.14632094185349,0.508527005296901,-0.008463657560706361,test
seasonal_naive_24h,8688,7.621637072293202,324.82902605203776,18.02301378937601,0.19073440032700684,-0.08088155306169428,validation
seasonal_naive_168h,14496,23.317483169770973,2514.1767554681333,50.14156714212404,-0.4545477425352771,-0.0817099345336644,test
seasonal_naive_168h,8688,12.431538917529927,1149.097233807537,33.89833674101927,-1.8628133184466695,2.403810581491713,validation
dmdc,14496,18.891836746792638,1530.7388999047946,39.12465846374629,0.1144087994509847,-14.070714475141285,test
dmdc,8688,9.711311552806938,345.70408479877676,18.59311928641283,0.13872714241594097,-4.178793689497968,validation
dmdc_residual_24h,14496,12.49585052178385,802.047960551608,28.320451277329745,0.5359844736898209,-0.030931663371144474,test
dmdc_residual_24h,8688,7.498663397662472,306.72619913445783,17.51360040467002,0.2358350345261342,-0.07206532388690703,validation
