model,split,context,threshold_lmp,n,positives,negatives,auc
seasonal_naive_24h,test,all,78.76588000000014,14496,1444,13052,0.9472379499687167
seasonal_naive_168h,test,all,78.76588000000014,14496,1444,13052,0.7808068015600076
dmdc,test,all,78.76588000000014,14496,1444,13052,0.7809184633721666
dmdc_residual_24h,test,all,78.76588000000014,14496,1444,13052,0.950279215547781
seasonal_naive_24h,validation,all,78.76588000000014,8688,231,8457,0.896696657959517
seasonal_naive_168h,validation,all,78.76588000000014,8688,231,8457,0.7464837397437609
dmdc,validation,all,78.76588000000014,8688,231,8457,0.7813061952827828
dmdc_residual_24h,validation,all,78.76588000000014,8688,231,8457,0.9105241847348978
